TIMESTAMP,HIGH_PRECISION_TIME_FROM_START,STIMCODE,EXPRESSION_BROW_RAISER_LEFT,EXPRESSION_BROW_RAISER_RIGHT,EXPRESSION_BROW_LOWERER_LEFT,EXPRESSION_BROW_LOWERER_RIGHT,EXPRESSION_SMILE,EXPRESSION_KISS,EXPRESSION_MOUTH_OPEN,EXPRESSION_EYES_CLOSED_LEFT,EXPRESSION_EYES_CLOSED_RIGHT,EXPRESSION_HEAD_TURN_LEFT,EXPRESSION_HEAD_TURN_RIGHT,EXPRESSION_HEAD_UP,EXPRESSION_HEAD_DOWN,EXPRESSION_HEAD_TILT_LEFT,EXPRESSION_HEAD_TILT_RIGHT,EXPRESSION_EYES_TURN_LEFT,EXPRESSION_EYES_TURN_RIGHT,EXPRESSION_EYES_UP,EXPRESSION_EYES_DOWN,EXPRESSION_TONGUE_OUT,EXPRESSION_PUFF_RIGHT,EXPRESSION_PUFF_LEFT,BOUNDING_RECTANGLE_HEIGHT,BOUNDING_RECTANGLE_WIDTH,BOUNDING_RECTANGLE_X,BOUNDING_RECTANGLE_Y,AVERAGE_DEPTH,LANDMARK_0_X,LANDMARK_0_Y,LANDMARK_1_X,LANDMARK_1_Y,LANDMARK_2_X,LANDMARK_2_Y,LANDMARK_3_X,LANDMARK_3_Y,LANDMARK_4_X,LANDMARK_4_Y,LANDMARK_5_X,LANDMARK_5_Y,LANDMARK_6_X,LANDMARK_6_Y,LANDMARK_7_X,LANDMARK_7_Y,LANDMARK_8_X,LANDMARK_8_Y,LANDMARK_9_X,LANDMARK_9_Y,LANDMARK_10_X,LANDMARK_10_Y,LANDMARK_11_X,LANDMARK_11_Y,LANDMARK_12_X,LANDMARK_12_Y,LANDMARK_13_X,LANDMARK_13_Y,LANDMARK_14_X,LANDMARK_14_Y,LANDMARK_15_X,LANDMARK_15_Y,LANDMARK_16_X,LANDMARK_16_Y,LANDMARK_17_X,LANDMARK_17_Y,LANDMARK_18_X,LANDMARK_18_Y,LANDMARK_19_X,LANDMARK_19_Y,LANDMARK_20_X,LANDMARK_20_Y,LANDMARK_21_X,LANDMARK_21_Y,LANDMARK_22_X,LANDMARK_22_Y,LANDMARK_23_X,LANDMARK_23_Y,LANDMARK_24_X,LANDMARK_24_Y,LANDMARK_25_X,LANDMARK_25_Y,LANDMARK_26_X,LANDMARK_26_Y,LANDMARK_27_X,LANDMARK_27_Y,LANDMARK_28_X,LANDMARK_28_Y,LANDMARK_29_X,LANDMARK_29_Y,LANDMARK_30_X,LANDMARK_30_Y,LANDMARK_31_X,LANDMARK_31_Y,LANDMARK_32_X,LANDMARK_32_Y,LANDMARK_33_X,LANDMARK_33_Y,LANDMARK_34_X,LANDMARK_34_Y,LANDMARK_35_X,LANDMARK_35_Y,LANDMARK_36_X,LANDMARK_36_Y,LANDMARK_37_X,LANDMARK_37_Y,LANDMARK_38_X,LANDMARK_38_Y,LANDMARK_39_X,LANDMARK_39_Y,LANDMARK_40_X,LANDMARK_40_Y,LANDMARK_41_X,LANDMARK_41_Y,LANDMARK_42_X,LANDMARK_42_Y,LANDMARK_43_X,LANDMARK_43_Y,LANDMARK_44_X,LANDMARK_44_Y,LANDMARK_45_X,LANDMARK_45_Y,LANDMARK_46_X,LANDMARK_46_Y,LANDMARK_47_X,LANDMARK_47_Y,LANDMARK_48_X,LANDMARK_48_Y,LANDMARK_49_X,LANDMARK_49_Y,LANDMARK_50_X,LANDMARK_50_Y,LANDMARK_51_X,LANDMARK_51_Y,LANDMARK_52_X,LANDMARK_52_Y,LANDMARK_53_X,LANDMARK_53_Y,LANDMARK_54_X,LANDMARK_54_Y,LANDMARK_55_X,LANDMARK_55_Y,LANDMARK_56_X,LANDMARK_56_Y,LANDMARK_57_X,LANDMARK_57_Y,LANDMARK_58_X,LANDMARK_58_Y,LANDMARK_59_X,LANDMARK_59_Y,LANDMARK_60_X,LANDMARK_60_Y,LANDMARK_61_X,LANDMARK_61_Y,LANDMARK_62_X,LANDMARK_62_Y,LANDMARK_63_X,LANDMARK_63_Y,LANDMARK_64_X,LANDMARK_64_Y,LANDMARK_65_X,LANDMARK_65_Y,LANDMARK_66_X,LANDMARK_66_Y,LANDMARK_67_X,LANDMARK_67_Y,LANDMARK_68_X,LANDMARK_68_Y,LANDMARK_69_X,LANDMARK_69_Y,LANDMARK_70_X,LANDMARK_70_Y,LANDMARK_71_X,LANDMARK_71_Y,LANDMARK_72_X,LANDMARK_72_Y,LANDMARK_73_X,LANDMARK_73_Y,LANDMARK_74_X,LANDMARK_74_Y,LANDMARK_75_X,LANDMARK_75_Y,LANDMARK_76_X,LANDMARK_76_Y,LANDMARK_77_X,LANDMARK_77_Y,EULER_ANGLE_PITCH,EULER_ANGLE_ROLL,EULER_ANGLE_YAW,QUATERNION_W,QUATERNION_X,QUATERNION_Y,QUATERNION_Z
20150522112238972,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186,186,225,210,469,315.9883,257.1064,301.427,246.2987,283.6996,241.4371,266.4161,242.1538,252.1499,251.1939,338.638,260.6668,353.1895,255.334,369.4796,253.4878,385.725,256.4764,397.0392,267.7558,296.4845,269.969,290.9836,266.0031,284.3197,263.5313,276.8503,263.5924,270.2418,265.5131,275.5098,269.8872,282.5577,272.4466,289.5687,272.3496,350.37,277.7219,356.0242,275.5595,362.7858,274.6231,369.2315,276.655,374.6636,279.9446,368.466,282.7963,361.9957,283.0778,355.5209,281.0703,326.0944,272.3979,325.2504,289.0934,325.0835,306.5786,324.9014,323.5602,295.9828,323.0338,321.9827,334.2686,346.5282,327.7055,284.1135,349.5016,296.55,345.324,309.8419,343.4946,320.8882,347.3645,331.3335,346.5038,340.9365,350.4005,348.4672,355.5343,339.4828,364.2553,328.0381,370.1176,316.8163,370.5416,304.1083,367.1462,292.8256,358.807,291.053,350.6954,306.1361,352.013,319.0298,354.0235,330.2727,354.2877,341.741,355.5223,329.1881,356.3897,318.6077,356.8287,305.1011,354.3021,233.8364,257.7657,230.6286,278.8629,229.9547,300.2057,231.5433,321.9176,235.6726,343.0856,248.5458,365.5038,267.0037,385.0017,287.3411,402.9312,311.4396,409.9964,334.5931,407.0181,352.5882,394.6316,370.038,379.4144,385.0239,361.1798,392.5901,342.3895,397.313,321.3224,400.8172,299.9364,400.6754,280.3231,299.8779,258.4521,283.2185,255.4015,267.3792,254.2032,354.4661,266.0944,369.802,266.4605,384.236,266.9882,284.8015,268.4527,362.1132,279.2581,-11.53676,-5.811669,-4.394207,0.9931219,-0.04655264,-0.03300269,-0.1022378
20150522112239073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,0,0,0,186,186,225,210,470,323.4441,262.0596,310.1035,250.4856,293.3881,243.8728,275.9455,244.0674,260.6656,252.1741,338.7497,263.991,354.0144,257.8506,369.8541,255.3337,386.0399,257.2987,397.2859,268.5627,300.741,272.8707,295.3222,269.1277,288.1732,266.634,279.3571,266.8761,274.0691,268.7783,279.1216,274.3517,287.1032,277.4731,295.0778,276.9602,352.167,281.0132,357.6564,277.9427,365.2282,276.7413,373.112,278.8196,378.0648,282.6331,373.2894,287.0368,365.9279,288.5586,358.4377,286.0813,329.6811,277.5065,329.1361,293.5699,329.4999,311.1361,329.3178,327.901,301.7835,328.3683,326.5082,339.0377,349.2661,333.191,290.3578,355.0137,301.6687,349.5743,313.9878,345.8325,323.8951,349.0551,334.2349,347.8304,343.8804,353.1195,350.1863,358.7476,341.6297,368.0068,329.2939,373.6779,319.2494,374.8314,309.1139,372.1943,298.4861,364.981,297.5002,355.706,310.282,356.3551,322.3676,357.1186,333.272,357.0993,342.667,358.3183,331.3599,359.7346,320.8754,360.3769,309.0028,358.2353,236.908,259.5845,232.4465,279.6046,230.0697,300.3356,231.5635,321.9239,235.8389,343.1939,248.7124,365.9717,269.1006,387.5757,290.2949,405.8808,313.843,413.0092,336.6217,409.1825,355.4278,395.5674,374.6066,379.9008,390.9993,360.5015,399.7524,341.1592,404.3999,321.0732,406.2327,299.902,406.1175,280.976,308.2486,263.0763,292.2291,258.1821,276.161,255.1138,355.496,269.2704,369.9164,267.4979,384.2323,267.5595,289.5487,272.9974,364.8331,282.4044,-12.23587,-5.262451,-4.74121,0.9926087,-0.04120325,-0.03619571,-0.1082599
20150522112239125,0.10121575168827,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,0,0,0,186,186,225,210,469,323.4446,262.0572,309.858,250.4004,292.4702,243.7802,273.8857,244.2301,258.8463,253.0632,338.7647,264.0094,354.3255,258.1113,370.2223,255.5125,386.8269,257.842,397.5075,269.1666,300.8376,273.1424,295.4945,269.1833,288.3053,266.7124,279.4004,266.92,274.0405,268.8125,279.1227,274.3554,287.1024,277.4893,295.0578,276.9944,352.1712,281.0273,357.6813,277.964,365.4618,276.9211,373.1685,278.8431,378.1332,282.6609,373.3035,287.0522,365.933,288.5619,358.4398,286.084,329.6811,277.5064,329.1339,293.5935,329.4924,311.1594,329.3068,327.9269,301.6079,328.2273,326.4536,339.0199,349.3041,333.2112,288.8541,354.2546,300.7446,349.2764,313.3038,345.8256,323.8671,349.0694,334.2346,347.8735,343.8734,353.1319,350.1866,358.7524,341.6365,368.0559,329.294,373.8068,319.1915,374.9305,308.4493,372.4221,297.3599,364.9471,296.0183,355.4665,309.3465,356.0689,322.3505,357.1138,333.2859,357.1101,342.6777,358.4342,331.3875,359.801,320.8325,360.4538,308.498,358.3524,234.9523,259.7597,231.5999,280.2568,229.2784,301.9318,230.8126,323.9333,236.1055,347.0467,250.1075,369.2292,269.9258,389.7057,290.5915,406.675,313.8162,413.5204,336.68,409.5863,355.4766,395.6685,374.6688,379.95,391.3959,360.8464,400.2919,341.4345,404.9467,321.1982,407.0571,299.8425,407.0076,280.5042,308.1952,263.0468,291.9314,258.2368,275.1314,255.8656,355.6091,269.345,370.5435,268.2755,384.5611,268.5517,289.4781,273.0704,364.8171,282.4498,-12.25565,-5.298422,-4.742799,0.9925771,-0.04150539,-0.03616681,-0.1084431
20150522112239168,0.152844041141697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,0,0,0,186,186,225,210,464,323.2021,262.2722,309.2116,250.3065,290.8366,243.9354,272.4543,244.6314,257.2654,254.4005,338.7395,264.3608,354.409,258.2227,370.4717,255.7324,387.4406,258.2543,398.2347,269.3822,300.7895,273.3297,295.489,269.3281,288.3051,266.9141,279.4069,267.149,273.9584,268.8964,279.093,274.3997,287.0569,277.5159,294.8894,277.0255,352.1773,281.0616,358.1313,278.3259,366.0627,277.6909,373.3667,279.114,378.1718,282.6979,373.3037,287.0573,365.9336,288.5636,358.4412,286.0859,329.6557,277.5401,329.0752,293.6696,329.484,311.1719,329.3076,327.931,301.5419,328.2583,326.3784,338.9579,349.3123,333.2214,288.8389,354.2789,300.7439,349.2776,313.3204,345.9442,323.9647,349.5923,334.3039,348.0252,343.8801,353.2365,350.0764,358.8377,341.6121,368.0815,329.2883,373.8897,319.191,374.9316,308.4255,372.5309,297.3157,365.0048,296.0121,355.519,309.406,356.2135,322.3551,357.1667,333.3622,357.3413,342.5061,358.6965,331.3907,359.8056,320.8331,360.4546,308.4995,358.3575,235.4643,259.3722,231.7025,279.8282,229.2088,300.7573,230.6582,321.6131,235.8227,344.0265,249.6288,368.4276,269.8501,389.6374,290.5496,406.7778,313.7546,413.7269,337.1526,409.7646,356.7306,395.5538,376.3889,378.5691,393.1982,358.2499,400.8756,339.6124,404.9805,320.7071,407.0297,299.8234,406.3032,281.1045,307.4334,263.0869,290.3427,258.7698,273.993,257.0094,355.8407,269.8432,371.0215,268.9195,384.7391,268.6222,289.435,273.1658,364.9704,282.8892,-12.22656,-5.284056,-4.752393,0.9926058,-0.04138357,-0.03627625,-0.1081902
20150522112239208,0.195384470745885,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,0,0,0,186,186,225,211,471,323.2013,262.3091,309.1928,250.3141,290.829,243.938,272.4541,244.6327,257.2658,254.4026,338.7331,264.4275,354.5054,258.3527,370.5781,255.8899,387.4319,258.511,398.2347,269.4191,300.7776,273.5543,295.5666,269.7146,288.4299,267.1343,279.5782,267.3103,273.9826,269.0449,279.0982,274.4454,287.018,277.5482,294.6731,277.0909,352.3159,281.1139,358.6301,278.6052,366.3438,277.9645,373.4395,279.295,378.1554,282.7617,373.2625,287.0902,365.9288,288.5839,358.4414,286.0971,329.6339,277.498,329.0603,293.6797,329.4576,311.1833,329.2767,327.9689,300.6934,328.3111,325.9106,338.7776,349.3122,333.2213,288.5763,354.26,300.3768,349.231,313.2308,345.9903,323.6258,349.772,333.895,348.1615,343.5718,353.2583,349.8362,358.9054,341.5784,368.092,329.2863,373.9258,319.1779,374.9554,308.3301,372.612,297.2204,365.052,295.9654,355.5418,309.3977,356.2103,322.2112,357.2101,333.2553,357.3922,341.7812,358.8784,331.3704,359.8258,320.8308,360.4619,308.5019,358.3653,235.5719,259.3618,231.6991,279.8357,229.0841,300.9247,230.7036,321.7635,235.8621,344.0817,249.6033,368.4218,269.4246,389.6219,290.0086,407.0096,313.4466,413.8712,337.1272,410.0685,356.4899,395.9381,376.026,379.8787,392.6037,360.0325,400.8286,339.8941,404.9954,320.7332,407.0325,299.8403,406.3042,281.1007,307.3605,263.0861,290.341,258.7708,273.995,257.0109,355.8706,269.9272,371.0274,268.9763,384.4093,269.1252,289.4188,273.2078,364.9883,282.9778,-12.11397,-5.506535,-4.991431,0.9925481,-0.0431322,-0.03818787,-0.1073758
20150522112239248,0.235717801752788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186,186,224,212,467,323.2003,262.3147,309.1923,250.3199,290.8371,243.9408,272.8591,244.4315,257.5541,253.8918,338.6903,264.4887,354.5114,258.3785,370.5877,255.922,387.4271,258.5245,398.2635,269.4417,300.7755,273.557,295.5607,269.7415,288.4257,267.192,279.5768,267.3189,273.9768,269.0472,279.0583,274.4725,286.8607,277.6078,294.5342,277.1234,352.3375,281.138,358.8507,278.8048,366.4064,278.0556,373.5811,279.5324,378.1612,282.8246,373.2557,287.1265,365.9213,288.6151,358.4366,286.1174,329.529,277.5586,328.9861,293.7184,329.3356,311.1921,329.2118,327.9638,300.6685,328.3163,325.8657,338.7803,349.292,333.2098,288.4226,354.2663,299.7413,349.1078,312.9913,346.1001,323.4184,349.8071,333.68,348.2774,343.48,353.3052,349.6167,358.9557,341.4239,368.1685,329.0726,374.0934,318.989,375.0346,308.1535,372.6597,296.9754,365.0573,295.8449,355.5709,309.0747,356.3134,321.9913,357.3668,333.123,357.4712,341.6848,358.9702,331.3465,359.9652,320.7199,360.504,308.2899,358.494,235.5995,259.2674,231.6882,279.83,229.0155,300.9114,230.6501,321.7505,235.8047,344.0932,249.3972,368.3677,269.1352,389.5944,289.9054,407.0495,313.0532,413.9823,337.0665,410.1877,356.2683,396.127,375.9138,379.954,392.483,360.1616,400.7443,340.0156,404.9942,320.7363,407.0168,299.8966,406.3135,281.1978,307.3506,263.0825,290.3414,258.7708,274.1373,257.0072,355.962,270.0238,371.0307,269.008,384.3405,269.132,289.0767,273.4723,364.9058,283.1864,-12.13735,-5.502717,-4.842965,0.9925771,-0.04322861,-0.03689482,-0.107521
20150522112239288,0.275199659082092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,186,186,223,215,465,322.6028,262.711,308.4493,250.8163,290.8021,243.9641,272.7978,244.4397,257.0929,253.9849,336.7809,265.4681,353.6607,258.8897,369.7348,256.4987,386.3075,258.6811,397.9234,269.532,299.9464,274.0492,293.8011,270.9412,286.8787,268.4673,278.194,268.2784,271.8466,270.3072,277.1453,275.5621,284.4884,278.9008,292.4962,277.7546,352.3289,281.1663,358.8249,278.863,366.3393,278.1846,373.441,279.8393,378.1745,282.9878,373.0502,287.2906,365.6558,288.817,358.2062,286.2916,328.0993,277.7695,327.2818,294.3744,327.601,311.9875,328.0505,328.8295,300.2529,328.5703,325.5339,338.9889,349.09,333.3529,288.049,354.4839,299.2565,349.3797,311.4506,347.034,322.6255,350.1768,333.3196,348.5311,343.3106,353.423,349.4738,359.0431,341.2971,368.2668,328.9738,374.4136,318.7609,375.1777,307.8835,372.8025,296.3215,365.3633,295.4721,355.8058,308.4431,356.6833,320.8673,358.3077,332.8608,357.7169,341.5547,359.0977,331.2193,360.4228,320.2045,360.955,307.8633,358.7836,235.7135,259.8312,231.6443,280.0913,228.9195,300.9406,230.5451,321.7428,235.4183,343.9835,248.1276,367.9683,268.6725,389.5238,289.6858,407.1767,312.9264,414.1731,337.058,410.4452,356.2714,396.1346,375.932,379.9252,392.4973,360.1366,400.7489,339.9937,404.9937,320.6669,406.9768,299.8957,406.4721,281.4228,306.3357,263.6288,289.6639,259.222,273.8951,257.4436,355.5149,270.49,370.3255,269.6247,383.6133,269.519,287.4731,274.5141,364.6001,283.4691,-12.60344,-4.656976,-3.360143,0.9928408,-0.03715027,-0.02465972,-0.1108103
20150522112239333,0.314945497884248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,186,186,222,215,466,321.7403,263.0063,307.4444,251.079,289.7242,244.2528,271.4353,244.7292,255.5468,254.4743,336.7661,265.4702,353.1559,259.1004,369.2928,256.7009,385.8187,258.8419,397.4355,269.9344,299.1299,274.2863,293.3669,271.2014,286.3358,269.1352,277.5253,269.0723,271.0418,270.5322,276.8526,275.5599,284.2018,278.8287,292.0573,277.7653,351.9398,281.4021,358.3574,279.3048,365.7878,278.7921,372.9073,280.3124,377.7907,283.2996,372.5533,287.3722,365.1387,288.8187,357.7737,286.3433,327.283,278.3316,326.7369,294.7263,327.2137,312.1783,327.726,328.9888,299.6667,328.7343,325.1511,339.1032,348.3792,333.6281,287.4778,354.6088,298.6065,349.5364,311.1628,347.1228,322.2676,350.3093,333.0121,348.7007,343.033,353.5345,349.1335,359.1236,341.0446,368.3495,328.6874,374.5158,318.4237,375.2756,307.249,372.9306,295.4044,365.282,294.1399,356.0594,307.8719,356.8391,320.6427,358.3523,332.5563,357.829,341.5105,359.1454,330.996,360.5817,319.791,361.1916,306.7879,359.3877,233.0436,260.1014,230.1914,280.3821,227.6302,301.0247,229.561,321.5243,234.3358,343.5356,247.5254,367.7866,267.9697,389.3878,289.2542,407.399,312.3284,414.8375,336.5801,410.8635,356.0728,396.223,375.8184,379.9882,392.478,360.1603,400.7083,340.0092,404.9352,320.65,406.7805,299.8914,406.3151,281.5299,304.2067,263.9802,287.4573,259.4829,271.7909,258.2635,355.0398,270.7104,369.859,269.89,383.1273,269.7927,287.19,274.6161,364.1281,283.6863,-12.69616,-4.639901,-3.574785,0.9927104,-0.03676604,-0.02650057,-0.1116788
20150522112239372,0.359756660810903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,186,186,221,215,465,320.3271,264.096,306.886,251.4269,289.4135,244.4707,271.4297,244.8845,255.5759,254.4345,336.7401,265.4821,352.7933,259.267,368.8528,256.8731,385.1063,259.0557,396.5569,269.778,298.4383,275.4655,293.1237,271.3814,286.0525,269.3184,277.1064,269.399,270.8494,270.6935,276.5683,275.6628,283.8933,278.9185,291.6276,278.0638,351.5148,281.7655,357.9083,279.5008,365.2697,278.9417,372.4268,280.4884,377.4857,283.5137,372.067,287.5224,364.7204,288.9567,357.4136,286.4823,326.9828,278.4948,326.5083,294.8713,327.0324,312.3122,327.4424,329.2169,299.3392,329.1183,324.4893,339.2903,348.2315,333.731,287.4402,354.7062,298.5575,349.618,311.0995,347.1604,322.1372,350.3816,332.8543,348.7853,342.8579,353.6287,349.0674,359.1408,340.9408,368.2967,328.6684,374.5502,318.3591,375.3728,307.2021,373.0023,295.3763,365.3567,294.135,356.1014,307.8003,356.9081,320.4998,358.3068,332.4654,357.8582,341.4394,359.2182,330.9346,360.6472,319.7337,361.2679,306.7571,359.424,232.6937,260.5706,229.006,281.538,227.3164,301.3924,229.5388,321.6376,234.3539,343.6341,247.7972,368.1472,268.0943,389.7108,289.5745,408.1035,312.5491,415.1071,336.5861,410.8958,356.0329,396.2809,375.7326,380.0594,392.3134,360.4065,400.4157,340.2975,404.6521,320.8776,405.9939,300.705,404.673,283.3463,304.1241,264.0372,287.4265,259.517,271.823,258.2448,354.6645,270.8375,369.5429,269.9835,382.6461,269.757,286.9699,274.7918,363.7091,283.8612,-12.41553,-4.600102,-3.754874,0.9929444,-0.03633615,-0.02820587,-0.1092961
20150522112239457,0.399153124444479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,186,186,221,216,462,320.3227,264.0637,306.6084,251.5515,288.7344,244.7729,270.4494,245.2815,255.3055,254.7102,336.6104,265.5592,352.6576,259.3282,368.6085,256.9447,385.0129,259.0621,396.5461,269.7877,298.3599,275.532,293.07,271.4207,285.9847,269.3459,277.0362,269.4731,270.7746,270.7886,276.5363,275.6859,283.8867,278.91,291.6085,278.0658,351.4306,281.8134,357.8223,279.5425,365.2049,278.966,372.4133,280.4962,377.4909,283.5405,372.0351,287.5277,364.678,288.9284,357.3842,286.4854,326.9228,278.5641,326.4471,295.028,326.9388,312.5728,327.3043,329.6095,299.3195,329.1534,324.4642,339.354,347.8584,333.8796,287.3298,354.8002,298.5146,349.8262,311.0596,347.2986,322.0903,350.5067,332.8055,348.8919,342.7665,353.7546,349.0597,359.1597,340.9183,368.3511,328.6747,374.5583,318.3668,375.4588,307.1513,373.0749,295.332,365.5446,294.0749,356.2606,307.7415,357.0916,320.4617,358.4379,332.3581,358.0742,341.4706,359.2943,330.8953,360.694,319.7086,361.3582,306.7296,359.4844,232.5655,262.3945,228.9782,282.4418,227.5326,302.7309,229.5674,323.3103,234.2113,344.8798,247.6045,368.9637,268.0656,390.1039,289.5815,408.2054,312.5561,415.2138,336.5672,411.1145,355.9917,396.7957,375.6833,380.718,392.0386,360.8735,399.5427,341.2451,404.266,321.218,405.7099,301.029,404.5943,283.415,304.0542,264.0801,287.4104,259.5215,271.7412,258.2146,354.0894,271.0913,368.7391,270.0168,382.553,269.7629,286.8963,274.8709,363.6531,283.8962,-12.71268,-4.63091,-3.767502,0.9926515,-0.03649494,-0.0281725,-0.1118814
